Confirmed,Deaths,Recovered,Net_Confirmed,Date_String
549.0,17.0,28.0,504,2020-01-22
644.0,18.0,30.0,596,2020-01-23
923.0,26.0,36.0,861,2020-01-24
1409.0,42.0,39.0,1328,2020-01-25
2079.0,56.0,49.0,1974,2020-01-26
2882.0,82.0,58.0,2742,2020-01-27
5517.0,131.0,101.0,5285,2020-01-28
6095.0,133.0,120.0,5842,2020-01-29
8150.0,171.0,135.0,7844,2020-01-30
9812.0,213.0,214.0,9385,2020-01-31
11901.0,259.0,275.0,11367,2020-02-01
16640.0,361.0,463.0,15816,2020-02-02
19726.0,425.0,614.0,18687,2020-02-03
23718.0,491.0,843.0,22384,2020-02-04
27451.0,563.0,1115.0,25773,2020-02-05
30603.0,633.0,1478.0,28492,2020-02-06
34126.0,718.0,2000.0,31408,2020-02-07
36831.0,805.0,2597.0,33429,2020-02-08
39847.0,905.0,3220.0,35722,2020-02-09
42372.0,1012.0,3919.0,37441,2020-02-10
44404.0,1112.0,4637.0,38655,2020-02-11
44777.0,1117.0,5083.0,38577,2020-02-12
59913.0,1369.0,6218.0,52326,2020-02-13
66376.0,1521.0,7979.0,56876,2020-02-14
68431.0,1663.0,9300.0,57468,2020-02-15
70533.0,1767.0,10757.0,58009,2020-02-16
72456.0,1865.0,12464.0,58127,2020-02-17
74233.0,2004.0,14208.0,58021,2020-02-18
74642.0,2117.0,15964.0,56561,2020-02-19
75101.0,2239.0,18016.0,54846,2020-02-20
75576.0,2239.0,18706.0,54631,2020-02-21
77027.0,2444.0,22701.0,51882,2020-02-22
77050.0,2446.0,23189.0,51415,2020-02-23
77271.0,2596.0,25020.0,49655,2020-02-24
77785.0,2666.0,27681.0,47438,2020-02-25
78198.0,2718.0,30089.0,45391,2020-02-26
78632.0,2747.0,32935.0,42950,2020-02-27
78962.0,2791.0,36335.0,39836,2020-02-28
79395.0,2838.0,39329.0,37228,2020-02-29
79972.0,2873.0,42171.0,34928,2020-03-01
80177.0,2915.0,44866.0,32396,2020-03-02
80303.0,2948.0,47462.0,29893,2020-03-03
80428.0,2984.0,50013.0,27431,2020-03-04
80581.0,3016.0,52304.0,25261,2020-03-05
80735.0,3045.0,53956.0,23734,2020-03-06
80815.0,3073.0,55551.0,22191,2020-03-07
80868.0,3101.0,57401.0,20366,2020-03-08
80905.0,3124.0,58819.0,18962,2020-03-09
80877.0,3139.0,60171.0,17567,2020-03-10
80969.0,3162.0,61661.0,16146,2020-03-11
80981.0,3173.0,62921.0,14887,2020-03-12
80995.0,3181.0,64216.0,13598,2020-03-13
81030.0,3194.0,65680.0,12156,2020-03-14
81062.0,3204.0,67037.0,10821,2020-03-15
81100.0,3218.0,67930.0,9952,2020-03-16
81135.0,3231.0,68820.0,9084,2020-03-17
81202.0,3242.0,69777.0,8183,2020-03-18
81264.0,3250.0,70561.0,7453,2020-03-19
81385.0,3255.0,71292.0,6838,2020-03-20
81458.0,3261.0,71885.0,6312,2020-03-21
81566.0,3267.0,72390.0,5909,2020-03-22
81691.0,3276.0,72847.0,5568,2020-03-23
81806.0,3283.0,73303.0,5220,2020-03-24
81896.0,3287.0,73796.0,4813,2020-03-25
82034.0,3293.0,74204.0,4537,2020-03-26
82164.0,3298.0,74743.0,4123,2020-03-27
82282.0,3301.0,75124.0,3857,2020-03-28
82420.0,3306.0,75606.0,3508,2020-03-29
82504.0,3313.0,75956.0,3235,2020-03-30
82601.0,3314.0,76239.0,3048,2020-03-31
82690.0,3321.0,76438.0,2931,2020-04-01
82771.0,3327.0,76610.0,2834,2020-04-02
82859.0,3331.0,76810.0,2718,2020-04-03
82898.0,3335.0,76996.0,2567,2020-04-04
82965.0,3338.0,77257.0,2370,2020-04-05
83038.0,3340.0,77367.0,2331,2020-04-06
83094.0,3340.0,77467.0,2287,2020-04-07
83188.0,3342.0,77628.0,2218,2020-04-08
83263.0,3344.0,77746.0,2173,2020-04-09
83323.0,3346.0,77882.0,2095,2020-04-10
83399.0,3349.0,77976.0,2074,2020-04-11
83522.0,3349.0,78065.0,2108,2020-04-12
83606.0,3351.0,78148.0,2107,2020-04-13
83699.0,3351.0,78324.0,2024,2020-04-14
83751.0,3352.0,78435.0,1964,2020-04-15
83798.0,3352.0,78556.0,1890,2020-04-16
84155.0,4642.0,77718.0,1795,2020-04-17
84185.0,4642.0,77792.0,1751,2020-04-18
84225.0,4642.0,77879.0,1704,2020-04-19
84239.0,4642.0,77948.0,1649,2020-04-20
84278.0,4642.0,78016.0,1620,2020-04-21
84294.0,4642.0,78097.0,1555,2020-04-22
84311.0,4642.0,78236.0,1433,2020-04-23
84327.0,4642.0,78373.0,1312,2020-04-24
84338.0,4642.0,78450.0,1246,2020-04-25
84341.0,4643.0,78558.0,1140,2020-04-26
84347.0,4643.0,78664.0,1040,2020-04-27
84369.0,4643.0,78729.0,997,2020-04-28
84373.0,4643.0,78785.0,945,2020-04-29
84385.0,4643.0,78845.0,897,2020-04-30
84388.0,4643.0,78897.0,848,2020-05-01
84391.0,4643.0,78910.0,838,2020-05-02
84400,4643,79016,741,2020-05-03
