Confirmed,Deaths,Recovered,Net_Confirmed,Date_String
0.0,0.0,0.0,0,2020-01-22
0.0,0.0,0.0,0,2020-01-23
0.0,0.0,0.0,0,2020-01-24
0.0,0.0,0.0,0,2020-01-25
0.0,0.0,0.0,0,2020-01-26
0.0,0.0,0.0,0,2020-01-27
0.0,0.0,0.0,0,2020-01-28
0.0,0.0,0.0,0,2020-01-29
0.0,0.0,0.0,0,2020-01-30
0.0,0.0,0.0,0,2020-01-31
0.0,0.0,0.0,0,2020-02-01
0.0,0.0,0.0,0,2020-02-02
0.0,0.0,0.0,0,2020-02-03
0.0,0.0,0.0,0,2020-02-04
0.0,0.0,0.0,0,2020-02-05
0.0,0.0,0.0,0,2020-02-06
0.0,0.0,0.0,0,2020-02-07
0.0,0.0,0.0,0,2020-02-08
0.0,0.0,0.0,0,2020-02-09
0.0,0.0,0.0,0,2020-02-10
0.0,0.0,0.0,0,2020-02-11
0.0,0.0,0.0,0,2020-02-12
0.0,0.0,0.0,0,2020-02-13
0.0,0.0,0.0,0,2020-02-14
0.0,0.0,0.0,0,2020-02-15
0.0,0.0,0.0,0,2020-02-16
0.0,0.0,0.0,0,2020-02-17
0.0,0.0,0.0,0,2020-02-18
2.0,2.0,0.0,0,2020-02-19
5.0,2.0,0.0,3,2020-02-20
18.0,4.0,0.0,14,2020-02-21
28.0,5.0,0.0,23,2020-02-22
43.0,8.0,0.0,35,2020-02-23
61.0,12.0,0.0,49,2020-02-24
95.0,16.0,0.0,79,2020-02-25
139.0,19.0,49.0,71,2020-02-26
245.0,26.0,49.0,170,2020-02-27
388.0,34.0,73.0,281,2020-02-28
593.0,43.0,123.0,427,2020-02-29
978.0,54.0,175.0,749,2020-03-01
1501.0,66.0,291.0,1144,2020-03-02
2336.0,77.0,291.0,1968,2020-03-03
2922.0,92.0,552.0,2278,2020-03-04
3513.0,107.0,739.0,2667,2020-03-05
4747.0,124.0,913.0,3710,2020-03-06
5823.0,145.0,1669.0,4009,2020-03-07
6566.0,194.0,2134.0,4238,2020-03-08
7161.0,237.0,2394.0,4530,2020-03-09
8042.0,291.0,2731.0,5020,2020-03-10
9000.0,354.0,2959.0,5687,2020-03-11
10075.0,429.0,2959.0,6687,2020-03-12
11364.0,514.0,2959.0,7891,2020-03-13
12729.0,611.0,2959.0,9159,2020-03-14
13938.0,724.0,4590.0,8624,2020-03-15
14991.0,853.0,4590.0,9548,2020-03-16
16169.0,988.0,5389.0,9792,2020-03-17
17361.0,1135.0,5389.0,10837,2020-03-18
18407.0,1284.0,5710.0,11413,2020-03-19
19644.0,1433.0,6745.0,11466,2020-03-20
20610.0,1556.0,7635.0,11419,2020-03-21
21638.0,1685.0,7635.0,12318,2020-03-22
23049.0,1812.0,8376.0,12861,2020-03-23
24811.0,1934.0,8913.0,13964,2020-03-24
27017.0,2077.0,9625.0,15315,2020-03-25
29406.0,2234.0,10457.0,16715,2020-03-26
32332.0,2378.0,11133.0,18821,2020-03-27
35408.0,2517.0,11679.0,21212,2020-03-28
38309.0,2640.0,12391.0,23278,2020-03-29
41495.0,2757.0,13911.0,24827,2020-03-30
44605.0,2898.0,14656.0,27051,2020-03-31
47593.0,3036.0,15473.0,29084,2020-04-01
50468.0,3160.0,16711.0,30597,2020-04-02
53183.0,3294.0,17935.0,31954,2020-04-03
55743.0,3452.0,19736.0,32555,2020-04-04
58226.0,3603.0,19736.0,34887,2020-04-05
60500.0,3739.0,24236.0,32525,2020-04-06
62589.0,3872.0,27039.0,31678,2020-04-07
64586.0,3993.0,29812.0,30781,2020-04-08
66220.0,4110.0,32309.0,29801,2020-04-09
68192.0,4232.0,35465.0,28495,2020-04-10
70029.0,4357.0,41947.0,23725,2020-04-11
71686.0,4474.0,43894.0,23318,2020-04-12
73303.0,4585.0,45983.0,22735,2020-04-13
74877.0,4683.0,48129.0,22065,2020-04-14
76389.0,4777.0,49933.0,21679,2020-04-15
77995.0,4869.0,52229.0,20897,2020-04-16
79494.0,4958.0,54064.0,20472,2020-04-17
80868.0,5031.0,55987.0,19850,2020-04-18
82211.0,5118.0,57023.0,20070,2020-04-19
83505.0,5209.0,59273.0,19023,2020-04-20
84802.0,5297.0,60965.0,18540,2020-04-21
85996.0,5391.0,63113.0,17492,2020-04-22
87026.0,5481.0,64843.0,16702,2020-04-23
88194.0,5574.0,66599.0,16021,2020-04-24
89328.0,5650.0,68193.0,15485,2020-04-25
90481.0,5710.0,69657.0,15114,2020-04-26
91472.0,5806.0,70933.0,14733,2020-04-27
92584.0,5877.0,72439.0,14268,2020-04-28
93657.0,5957.0,73791.0,13909,2020-04-29
94640.0,6028.0,75103.0,13509,2020-04-30
95646.0,6091.0,76318.0,13237,2020-05-01
96448.0,6156.0,77350.0,12942,2020-05-02
97424,6203,78422,12799,2020-05-03
