Confirmed,Deaths,Recovered,Net_Confirmed,Date_String
1.0,0.0,0.0,1,2020-01-22
1.0,0.0,0.0,1,2020-01-23
2.0,0.0,0.0,2,2020-01-24
2.0,0.0,0.0,2,2020-01-25
5.0,0.0,0.0,5,2020-01-26
5.0,0.0,0.0,5,2020-01-27
5.0,0.0,0.0,5,2020-01-28
5.0,0.0,0.0,5,2020-01-29
5.0,0.0,0.0,5,2020-01-30
6.0,0.0,0.0,6,2020-01-31
8.0,0.0,0.0,8,2020-02-01
8.0,0.0,0.0,8,2020-02-02
11.0,0.0,0.0,11,2020-02-03
11.0,0.0,0.0,11,2020-02-04
12.0,0.0,0.0,12,2020-02-05
12.0,0.0,0.0,12,2020-02-06
12.0,0.0,0.0,12,2020-02-07
12.0,0.0,0.0,12,2020-02-08
12.0,0.0,3.0,9,2020-02-09
12.0,0.0,3.0,9,2020-02-10
13.0,0.0,3.0,10,2020-02-11
13.0,0.0,3.0,10,2020-02-12
15.0,0.0,3.0,12,2020-02-13
15.0,0.0,3.0,12,2020-02-14
15.0,0.0,3.0,12,2020-02-15
15.0,0.0,3.0,12,2020-02-16
15.0,0.0,3.0,12,2020-02-17
15.0,0.0,3.0,12,2020-02-18
15.0,0.0,3.0,12,2020-02-19
15.0,0.0,3.0,12,2020-02-20
35.0,0.0,5.0,30,2020-02-21
35.0,0.0,5.0,30,2020-02-22
35.0,0.0,5.0,30,2020-02-23
53.0,0.0,5.0,48,2020-02-24
53.0,0.0,6.0,47,2020-02-25
59.0,0.0,6.0,53,2020-02-26
60.0,0.0,6.0,54,2020-02-27
62.0,0.0,7.0,55,2020-02-28
70.0,1.0,7.0,62,2020-02-29
76.0,1.0,7.0,68,2020-03-01
101.0,6.0,7.0,88,2020-03-02
122.0,7.0,8.0,107,2020-03-03
153.0,11.0,8.0,134,2020-03-04
221.0,12.0,8.0,201,2020-03-05
278.0,14.0,8.0,256,2020-03-06
417.0,17.0,8.0,392,2020-03-07
537.0,21.0,8.0,508,2020-03-08
605.0,22.0,8.0,575,2020-03-09
959.0,28.0,8.0,923,2020-03-10
1281.0,36.0,8.0,1237,2020-03-11
1663.0,40.0,12.0,1611,2020-03-12
2179.0,47.0,12.0,2120,2020-03-13
2726.0,54.0,12.0,2660,2020-03-14
3499.0,63.0,12.0,3424,2020-03-15
4632.0,85.0,17.0,4530,2020-03-16
6421.0,108.0,17.0,6296,2020-03-17
7786.0,118.0,106.0,7562,2020-03-18
13680.0,200.0,108.0,13372,2020-03-19
19101.0,244.0,147.0,18710,2020-03-20
25514.0,307.0,171.0,25036,2020-03-21
33848.0,427.0,0.0,33421,2020-03-22
43663.0,552.0,0.0,43111,2020-03-23
53736.0,706.0,348.0,52682,2020-03-24
65778.0,942.0,361.0,64475,2020-03-25
83836.0,1209.0,681.0,81946,2020-03-26
101657.0,1581.0,869.0,99207,2020-03-27
121465.0,2026.0,1072.0,118367,2020-03-28
140909.0,2467.0,2665.0,135777,2020-03-29
161831.0,2978.0,5644.0,153209,2020-03-30
188172.0,3873.0,7024.0,177275,2020-03-31
213372.0,4757.0,8474.0,200141,2020-04-01
243599.0,5926.0,9001.0,228672,2020-04-02
275586.0,7087.0,9707.0,258792,2020-04-03
308853.0,8407.0,14652.0,285794,2020-04-04
337072.0,9619.0,17448.0,310005,2020-04-05
366667.0,10783.0,19581.0,336303,2020-04-06
396223.0,12722.0,21763.0,361738,2020-04-07
429052.0,14695.0,23559.0,390798,2020-04-08
461437.0,16478.0,25410.0,419549,2020-04-09
496535.0,18586.0,28790.0,449159,2020-04-10
526396.0,20462.0,31270.0,474664,2020-04-11
555313.0,22019.0,32988.0,500306,2020-04-12
580619.0,23528.0,43482.0,513609,2020-04-13
607670.0,25831.0,47763.0,534076,2020-04-14
636350.0,28325.0,52096.0,555929,2020-04-15
667801.0,32916.0,54703.0,580182,2020-04-16
699706.0,36773.0,58545.0,604388,2020-04-17
732197.0,38664.0,64840.0,628693,2020-04-18
759086.0,40661.0,70337.0,648088,2020-04-19
784326.0,42094.0,72329.0,669903,2020-04-20
811865.0,44444.0,75204.0,692217,2020-04-21
840220.0,46622.0,77366.0,716232,2020-04-22
869170.0,49954.0,80203.0,739013,2020-04-23
905333.0,51949.0,99079.0,754305,2020-04-24
938154.0,53755.0,100372.0,784027,2020-04-25
965783.0,54881.0,106988.0,803914,2020-04-26
988197.0,56259.0,111424.0,820514,2020-04-27
1012582.0,58355.0,115936.0,838291,2020-04-28
1039909.0,60967.0,120720.0,858222,2020-04-29
1069424.0,62996.0,153947.0,852481,2020-04-30
1103461.0,64943.0,164015.0,874503,2020-05-01
1132539.0,66369.0,175382.0,890788,2020-05-02
1158040,67682,180152,910206,2020-05-03
