省份,确诊人数,疑似人数,死亡人数,治愈人数
台湾,7806,0,99,1133
上海,2088,0,7,2018
香港,11836,0,210,11570
广东,2431,0,8,2377
浙江,1364,0,1,1323
四川,1024,0,3,990
福建,618,0,1,587
陕西,615,0,3,592
云南,352,0,2,331
辽宁,425,0,2,411
江苏,726,0,0,715
天津,393,0,3,380
湖南,1051,0,4,1039
重庆,598,0,6,586
广西,275,0,2,268
山西,253,0,0,248
安徽,1004,0,6,994
北京,1059,0,9,1046
山东,883,0,7,873
内蒙古,386,0,1,383
河南,1314,0,22,1290
黑龙江,1612,0,13,1597
湖北,68159,0,4512,63645
澳门,51,0,0,49
海南,188,0,6,181
宁夏,76,0,0,75
甘肃,194,0,2,191
吉林,573,0,3,570
河北,1317,0,7,1310
贵州,147,0,2,145
西藏,1,0,0,1
江西,937,0,1,936
新疆,980,0,3,977
青海,18,0,0,18
